epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4125.62,2.33248,12.0118,3.09336,0.44612,0.3796,0.36478,0.27038,2.03695,8.54388,2.68389,0.000128258,0.000128258,0.000128258
2,9929.27,2.35841,6.8537,2.97724,0.5463,0.4991,0.50605,0.37515,1.99115,4.7078,2.55536,0.000231188,0.000231188,0.000231188
3,16887.6,2.31989,4.58245,2.90085,0.61902,0.55138,0.58858,0.43722,2.00584,3.4951,2.51344,0.000308709,0.000308709,0.000308709
4,20984.9,2.26303,3.61164,2.83592,0.69395,0.62792,0.67563,0.51166,1.8963,2.64916,2.46905,0.000270655,0.000270655,0.000270655
5,25119.8,2.15642,2.97855,2.74276,0.71858,0.67939,0.73588,0.56036,1.81895,2.22926,2.38061,0.00023254,0.00023254,0.00023254
6,29550.2,2.06902,2.53706,2.66636,0.77889,0.71984,0.77213,0.6023,1.77021,1.94321,2.33964,0.000194425,0.000194425,0.000194425
7,34204.5,1.97692,2.21864,2.58895,0.79307,0.73306,0.79938,0.62338,1.67448,1.80579,2.27454,0.00015631,0.00015631,0.00015631
8,43302.7,1.91444,1.97566,2.54772,0.79608,0.74844,0.7945,0.62555,1.6384,1.75519,2.25798,0.000118195,0.000118195,0.000118195
9,49465.8,1.82351,1.78041,2.47673,0.81838,0.75548,0.80973,0.64301,1.57461,1.66193,2.22373,8.008e-05,8.008e-05,8.008e-05
10,54110.7,1.75659,1.63046,2.42192,0.83291,0.77168,0.82734,0.66156,1.54792,1.53367,2.18717,4.1965e-05,4.1965e-05,4.1965e-05
